Name,URL,Price,Neighborhood
Beautiful furnished Mission Loft Valencia in Mission,http://sfbay.craigslist.org/sfc/apa/5579625703.html,$4100,mission district
"1BD 2BA Soma Loft, Pets OK, Wood Floors, Private Patio",http://sfbay.craigslist.org/sfc/apa/5590891027.html,$3500,SOMA / south beach
"1BD 2BA Soma Loft, Pets OK, Wood Floors, Private Patio",http://sfbay.craigslist.org/sfc/apa/5594872768.html,$3500,SOMA / south beach
"Spacious Tri-Level Loft w/ 2 Entrances, Roof deck & Pkg in Dogpatch",http://sfbay.craigslist.org/sfc/apa/5570918256.html,$4800,potrero hill
Large Live/Work Loft,http://sfbay.craigslist.org/sfc/apa/5600730857.html,$3650,potrero hill
Mid Market | Loft #118 | In-Unit Lndry | Roof Deck | Stevenson Lofts,http://sfbay.craigslist.org/sfc/apa/5600633447.html,$2875,SOMA / south beach
"Modern 2bd/2bth Loft w/ALL Amenities, Parking Included!",http://sfbay.craigslist.org/sfc/apa/5570169114.html,$4800,SOMA / south beach
"ID#1498: SOMA 1BR/2BA Live/Work Loft w/Deck, Pkg",http://sfbay.craigslist.org/sfc/apa/5575015898.html,$3900,SOMA / south beach
SOMA BI-LEVEL LOFT W/ BALCONY,http://sfbay.craigslist.org/sfc/apa/5600535563.html,$4200,SOMA / south beach
Large open space rare modern loft designed by Stanley Saitowitz,http://sfbay.craigslist.org/sfc/apa/5594595844.html,$4250,SOMA / south beach
Live Work Loft in SF Soma,http://sfbay.craigslist.org/sfc/apa/5563890207.html,$2195,downtown / civic / van ness
"SOMA 1bd/2ba loft w/pkg, w/d, roofdeck ~ J.Wavro",http://sfbay.craigslist.org/sfc/apa/5599333569.html,$3450,SOMA / south beach
"SOMA 2bd/2.5ba loft w/pkg, w/d, roofdeck ~ J.Wavro",http://sfbay.craigslist.org/sfc/apa/5599327673.html,$4850,SOMA / south beach
Top Floor Spacious Corner Unit 2-Level Loft in,http://sfbay.craigslist.org/sfc/apa/5598841987.html,$3800,SOMA / south beach
Elegantly Furnished Loft *Turnkey* AMSI Scott Russell Jr,http://sfbay.craigslist.org/sfc/apa/5572144000.html,$4995,financial district
"1BD 1.5BA Soma Loft Utilities Included, Rooftop Terrace",http://sfbay.craigslist.org/sfc/apa/5597593813.html,$3500,SOMA / south beach
Elegantly Furnished Loft *Turnkey* AMSI Scott Russell Jr,http://sfbay.craigslist.org/sfc/apa/5580208983.html,$4995,financial district
"Bi-Level Live/Work Loft w/ Frplce, & Parking",http://sfbay.craigslist.org/sfc/apa/5592805518.html,$3800,SOMA / south beach
Dogpatch Loft 2 Bedroom 2 Bath Potrero Square,http://sfbay.craigslist.org/sfc/apa/5596205560.html,$4500,potrero hill
Live/Work Loft with Sunny Windows,http://sfbay.craigslist.org/sfc/apa/5563905535.html,$2195,SOMA / south beach
"Massive Loft with Private Garden, Parking Included",http://sfbay.craigslist.org/sfc/apa/5559388658.html,$3975,potrero hill
Harrison @ 20th -- Loft. 1-2 BR / 1.5BA + Office Zone. Views. Garage,http://sfbay.craigslist.org/sfc/apa/5595505371.html,$4480,mission district
"SOMA 1bd/2ba loft w/pkg, w/d, roofdeck ~ J.Wavro",http://sfbay.craigslist.org/sfc/apa/5595270259.html,$3450,SOMA / south beach
"SOMA 2bd/2.5ba loft w/pkg, w/d, roofdeck ~ J.Wavro",http://sfbay.craigslist.org/sfc/apa/5595265507.html,$4850,SOMA / south beach
"1BD 1.5BA Soma Loft Utilities Included, Rooftop Terrace",http://sfbay.craigslist.org/sfc/apa/5594871431.html,$3500,SOMA / south beach
"2BD 2.5BA Expansive Tri-Level Soma Loft, Garage Parking, Pets OK",http://sfbay.craigslist.org/sfc/apa/5594860944.html,$4600,SOMA / south beach
One level loft with private patio,http://sfbay.craigslist.org/sfc/apa/5572333287.html,$3900,SOMA / south beach
"1BD 1.5BA Soma Loft Utilities Included, Rooftop Terrace",http://sfbay.craigslist.org/sfc/apa/5594668646.html,$3500,SOMA / south beach
"Luxury,Loft, THREE LEVELS,2 & 1 1/2 BATHS,W/D in loft,easyFWY access",http://sfbay.craigslist.org/sfc/apa/5594647136.html,$4400,SOMA / south beach
"LUXURY loft,@ hearth/Soma2full B/rsF/P,patioW/D in loft,easyFWYaccess",http://sfbay.craigslist.org/sfc/apa/5594627249.html,$3500,SOMA / south beach
One of a Kind Loft with Amazing Location,http://sfbay.craigslist.org/sfc/apa/5563882005.html,$2195,SOMA / south beach
Unique Loft with Prime Location,http://sfbay.craigslist.org/sfc/apa/5568302751.html,$2195,downtown / civic / van ness
Loft with Great Central Location (Couples Welcome),http://sfbay.craigslist.org/sfc/apa/5586139783.html,$2195,tenderloin
Mid Market | Loft #118 | In-Unit Lndry | Roof Deck | Stevenson Lofts,http://sfbay.craigslist.org/sfc/apa/5593001587.html,$2995,SOMA / south beach
Furnished Designer Loft for Rent,http://sfbay.craigslist.org/sfc/apa/5583129102.html,$5000,hayes valley
2 Bed 2 Bath Loft in SOMA with parking and laundry!,http://sfbay.craigslist.org/sfc/apa/5591109990.html,$4500,SOMA / south beach
"Large Bi-level Loft near Caltrain, 22nd St Station",http://sfbay.craigslist.org/sfc/apa/5591010879.html,$3300,potrero hill
"Spacious Loft with View, W/D in unit and Parking included",http://sfbay.craigslist.org/sfc/apa/5590886495.html,$3950,mission district
"SOMA 1bd/2ba loft w/pkg, w/d, roofdeck ~ J.Wavro",http://sfbay.craigslist.org/sfc/apa/5590187285.html,$3450,SOMA / south beach
"SOMA 2bd/2.5ba loft w/pkg, w/d, roofdeck ~ J.Wavro",http://sfbay.craigslist.org/sfc/apa/5590185474.html,$4850,SOMA / south beach
Cozy and newly remodeled 1br loft in SOMA!,http://sfbay.craigslist.org/sfc/apa/5589906932.html,$2300,SOMA / south b
One Level Loft Condo Near SF Flower Market,http://sfbay.craigslist.org/sfc/apa/5581682245.html,$2700,SOMA / south beach
"SoMa - 1 BR, 1.5 BA Condo 830 Sq. Ft. - Loft Style Condo w Parking",http://sfbay.craigslist.org/sfc/apa/5601014726.html,$3850,SOMA / south beach
"BEAUTIFUL, SUNNY Loft Near Twitter - $3400",http://sfbay.craigslist.org/sfc/apa/5600890567.html,$3400,SOMA / south beach
"High Ceilings, Natural Light, and Parking Included in this Loft",http://sfbay.craigslist.org/sfc/apa/5584878995.html,$3595,san francisco
Perfect for Roommates! One Bedroom with Loft!,http://sfbay.craigslist.org/sfc/apa/5600831783.html,$3276,SOMA / south beach
"High Ceilings, Natural Light, and Parking Included in this Loft",http://sfbay.craigslist.org/sfc/apa/5593003955.html,$3599,san francisco
NY Style Brick & Timber Conversion Loft w/ Enclosed Bedroom **Video**,http://sfbay.craigslist.org/sfc/apa/5600798511.html,$3795,SOMA / south beach
"2BD 2.5BA Expansive Tri-Level Soma Loft, Garage Parking, Pets OK",http://sfbay.craigslist.org/sfc/apa/5590893989.html,$4600,SOMA / south beach
"York Street Studios: 2711 18th St. #8 - Furnished, 12mo+, Jul 1",http://sfbay.craigslist.org/sfc/apa/5594698095.html,$3750,mission district
START UP!!! NEED SPACE?? Commercial Live/work,http://sfbay.craigslist.org/sfc/apa/5586665766.html,$4150,SOMA / south beach
"Amazing Modern Loft! Patio, Views, Upgrades & LOCATION! *Pics!*",http://sfbay.craigslist.org/sfc/apa/5600289216.html,$4250,SOMA / south beach
"Stunning Modern Loft! Upgrades, Patio, Amenities, LOCATION!!! *pics!*",http://sfbay.craigslist.org/sfc/apa/5600274332.html,$4750,SOMA / south beach
Huge Modern 3 level Loft Condo in the Dogpatch/Mission Bay Area,http://sfbay.craigslist.org/sfc/apa/5592746615.html,$4500,SOMA / south beach
Huge Sleek & Modern House-like 3 level Loft Condominium in the Dogpatc,http://sfbay.craigslist.org/sfc/apa/5600259203.html,$4500,potrero hill
Beautiful 2 Bed/2.5 Ba Tri Level LOFT--PARKING--W/D--GREAT LOC---PARAG,http://sfbay.craigslist.org/sfc/apa/5592818842.html,$4250,hayes valley
"Historic Victorian Studio with Sleeping Loft, Garden, Pets OK",http://sfbay.craigslist.org/sfc/apa/5600155980.html,$2595,mission district
Room available in a bedroom + loft apt,http://sfbay.craigslist.org/sfc/apa/5599696010.html,$1430,SOMA / south beach
Central Cozy Downtown Loft Studio,http://sfbay.craigslist.org/sfc/apa/5599657314.html,$2195,downtown / civic / van ness
Furnished 1bd/1.5ba SOMA Loft w/pkg ~ J.Wavro,http://sfbay.craigslist.org/sfc/apa/5599481894.html,$4850,SOMA / south beach
2 BR / 2.5 BA Dogpatch / Potrero tri-level loft avail 7/1,http://sfbay.craigslist.org/sfc/apa/5566585819.html,$4500,potrero hill
Live/Work Loft in the Heart of Downtown SF (Couples Welcome),http://sfbay.craigslist.org/sfc/apa/5563872657.html,$2195,downtown / civic / van ness
SOMA 1bdr/2ba Loft,http://sfbay.craigslist.org/sfc/apa/5599277735.html,$4200,SOMA / south beach
Luxurious Loft 1/2 Block off Fillmore,http://sfbay.craigslist.org/sfc/apa/5599232917.html,$5000,lower pac hts
1 bed 1.5 baths Located in the heart of North Slope Potrero,http://sfbay.craigslist.org/sfc/apa/5599057421.html,$3550,potrero hill
One Bedroom Loft Near Union Square,http://sfbay.craigslist.org/sfc/apa/5599043574.html,$3360,downtown / civic / van ness
"SoMa - 1 BR, 1.5 BA Condo 830 Sq. Ft. - Loft Style Condo w Parking",http://sfbay.craigslist.org/sfc/apa/5598827280.html,$3850,SOMA / south beach
Beautiful Contemporary Loft 2.4Ba Available April 30th,http://sfbay.craigslist.org/sfc/apa/5563288428.html,$4750,mission district
Spacious & Bright 2BR/2BA Loft on Quiet Alley! ~ J.Wavro,http://sfbay.craigslist.org/sfc/apa/5598417580.html,$4200,SOMA / south beach
+++ Book Concern Lofts is an efficiency loft Studio +++,http://sfbay.craigslist.org/sfc/apa/5598295860.html,$1950,downtown / civic / van ness
"Light-filled loft, exc loc, W/D, util&wifi incl - Open House Sat,Sun",http://sfbay.craigslist.org/sfc/apa/5593481821.html,$3500,SOMA / south beach
Stylish Live/Work Loft. 2 bedroom with den. ~ J.Wavro,http://sfbay.craigslist.org/sfc/apa/5598024981.html,$4650,SOMA / south beach
Amazing 2 Bed/2.5 Bath Tri Level LOFT--Parking-Huge Private Patio--W/D,http://sfbay.craigslist.org/sfc/apa/5591002475.html,$4250,hayes valley
"High Ceilings, Natural Light, and Parking Included in this Loft",http://sfbay.craigslist.org/sfc/apa/5583259120.html,$3595,san francisco
One Bedroom with Loft Includes Parking,http://sfbay.craigslist.org/sfc/apa/5597344272.html,$3800,potrero hill
"SoMa - 1 BR, 1.5 BA Condo 830 Sq. Ft. - Loft Style Condo w Parking",http://sfbay.craigslist.org/sfc/apa/5597086256.html,$3850,SOMA / south beach
Chic 1BR/1.5BA Lighthouse Loft-Avail 6/1,http://sfbay.craigslist.org/sfc/apa/5597083873.html,$4750,SOMA / south b
Architectural Loft in North Beach Available June 1st,http://sfbay.craigslist.org/sfc/apa/5573553117.html,$3500,north beach / telegraph hill
Only 1 Left! Hurry! Great Studio-Loft Homes. Open Sat/Sun.,http://sfbay.craigslist.org/sfc/apa/5596355235.html,$3877,SOMA / south beach
"High Ceilings, Natural Light, and Parking Included in this Loft",http://sfbay.craigslist.org/sfc/apa/5558310024.html,$3595,san francisco
"High Ceilings, Natural Light, and Parking Included in this Loft",http://sfbay.craigslist.org/sfc/apa/5589579575.html,$3599,san francisco
SMART LOFT ON THE NORTH SLOPE-OPEN THIS WEEKEND!,http://sfbay.craigslist.org/sfc/apa/5564143537.html,$3800,potrero hill
Modern City Living! One Bedroom w/ Loft,http://sfbay.craigslist.org/sfc/apa/5595907903.html,$3289,SOMA / south beach
"Amazing Modern Loft! Patio, Views, Upgrades & LOCATION! *Pics!*",http://sfbay.craigslist.org/sfc/apa/5595832880.html,$4250,SOMA / south beach
"Stunning Modern Loft! Upgrades, Patio, Amenities, LOCATION!!! *pics!*",http://sfbay.craigslist.org/sfc/apa/5595826602.html,$4750,SOMA / south beach
Furnished 1bd/1.5ba SOMA Loft w/pkg ~ J.Wavro,http://sfbay.craigslist.org/sfc/apa/5595678216.html,$4850,SOMA / south beach
Apartment Loft with Amazing Location (ideal for a couple),http://sfbay.craigslist.org/sfc/apa/5562776067.html,$2195,SOMA / south beach
Once in a Lifetime Opportunity! Located on Market st. (Move in Ready L,http://sfbay.craigslist.org/sfc/apa/5568248194.html,$2195,SOMA / south beach
"SoMa - 1 BR, 1.5 BA Condo 830 Sq. Ft. - Loft Style Condo w Parking",http://sfbay.craigslist.org/sfc/apa/5595464047.html,$3850,SOMA / south beach
Furnished LOFT Available 06/02!,http://sfbay.craigslist.org/sfc/apa/5595409812.html,$4095,San Francisco
Spacious & Bright 2BR/2BA Loft on Quiet Alley! ~ J.Wavro,http://sfbay.craigslist.org/sfc/apa/5595299367.html,$4200,SOMA / south beach
Condo Studio w/ Loft in Downtown SF,http://sfbay.craigslist.org/sfc/apa/5595020347.html,$2800,downtown / civic / van ness
"1BD 2BA Soma Loft, Pets OK, Wood Floors, Private Patio",http://sfbay.craigslist.org/sfc/apa/5594870269.html,$3500,SOMA / south beach
"High Ceilings, Natural Light, and Parking Included in this Loft",http://sfbay.craigslist.org/sfc/apa/5594647476.html,$3599,san francisco
Modern Studio/Loft in the heart of SF,http://sfbay.craigslist.org/sfc/apa/5584808161.html,$2800,downtown / civic / van ness
"2BD 2.5BA Expansive Tri-Level Soma Loft, Garage Parking, Pets OK",http://sfbay.craigslist.org/sfc/apa/5594675464.html,$4600,SOMA / south beach
"*Special* Large 1-bed + loft, 2-bath in Potrero Hills ready Now!",http://sfbay.craigslist.org/sfc/apa/5594427273.html,$3816,potrero hill
*Special* 773sq.ft. Studio Loft Ready for Now!!!,http://sfbay.craigslist.org/sfc/apa/5594402139.html,$3580,potrero hill
"BRIGHT, spacious, remodeled loft apartment; parking available",http://sfbay.craigslist.org/sfc/apa/5556793897.html,$3200,russian hill
Tricked out Loft with Remarkable Location,http://sfbay.craigslist.org/sfc/apa/5568235430.html,$2195,SOMA / south beach
